model,precision,recall,f1,accuracy
14B.128.256.0.0.4,0.4861111111111111,0.3544751777680544,0.3947370643770959,0.612
14B.128.256.0.2.2,0.5416666666666666,0.4261917629658101,0.4654398129570601,0.744
14B.128.256.0.2.4.1024,0.5972222222222222,0.466006626884576,0.5105908441657774,0.748
14B.128.256.0.2.4.256,0.2916666666666667,0.1431705771542432,0.1729235472657239,0.368
14B.128.256.0.2.4.512,0.4166666666666667,0.2836483320319527,0.3169376972034142,0.602
14B.128.256.0.2.4,0.5972222222222222,0.4651141382311981,0.5089455914831827,0.754
14B.128.256.0.2.6,0.5277777777777778,0.3948079238517079,0.4416677412414167,0.686
14B.128.256.0.4.4,0.5416666666666666,0.4122033044843843,0.451583660711135,0.682
14B.16.32.0.2.4,0.2361111111111111,0.1260348987152526,0.1509638365986786,0.396
14B.32.64.0.2.4,0.4166666666666667,0.2713345063050145,0.3146764224518106,0.598
14B.64.128.0.2.4,0.4166666666666667,0.3188210446037125,0.347198237067256,0.548
14B.8.16.0.2.4,0.4305555555555556,0.2767717804100517,0.3241526039352281,0.49
Baichuan-M1-14B-Instruct,0.3888888888888889,0.2264221314244,0.2672018094948796,0.522
Baichuan2-13B-Chat,0.2916666666666667,0.1561501199403876,0.1857523993867504,0.35
Baichuan2-7B-Chat,0.3055555555555556,0.1701009695168043,0.2005925809534703,0.314
chatglm3-6b,0.2083333333333333,0.0854937547286685,0.1091351908600423,0.164
DeepSeek-R1-Distill-Qwen-14B,0.5972222222222222,0.4285206293798625,0.4780424958804179,0.608
DeepSeek-R1-Distill-Qwen-32B,0.6805555555555556,0.516426575415913,0.5653214101216709,0.628
DeepSeek-R1-Distill-Qwen-7B,0.3194444444444444,0.1744394707388128,0.2049780762061412,0.276
deepseek-r1,0.75,0.6866250784949741,0.7094728219130396,0.838
deepseek-v3,0.375,0.2484373313887833,0.2869779252891786,0.462
gpt-3.5-turbo,0.3611111111111111,0.1809576681258849,0.2222271922543561,0.318
gpt-4o,0.3888888888888889,0.219776545482648,0.2636062295017872,0.414
HuatuoGPT2-13B,0.4722222222222222,0.2585874627531841,0.3086522988496027,0.378
Lingdan-13B-Base,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.272
Lingdan-13B-PR,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.272
Llama3-8B-Chinese-Chat,0.0972222222222222,0.0634910593792172,0.0687055742611298,0.078
Qwen2.5-14B-Instruct,0.4027777777777778,0.2332372339631867,0.2743249871245545,0.372
Qwen2.5-32B-Instruct,0.4583333333333333,0.2914745318244638,0.3360471403799916,0.364
Qwen2.5-72B-Instruct,0.7361111111111112,0.6274093312120762,0.6669723129279942,0.782
Sunsimiao-7B,0.2361111111111111,0.0709524998091241,0.098172077491661,0.122
TCMchat,0.6111111111111112,0.4644378089477907,0.5094556255819636,0.674
ZhongjingGPT1_13B,0.2638888888888889,0.1216836619428497,0.1526699845368474,0.318
