model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.3120536853337602,0.2129039633391336,0.1539189281206303,0.1136643933153665,0.7613264918327332,0.6964038014411926,0.7263648509979248,0.296984732949622,0.4591049081009746,0.3494334526422495,0.0988803050869852,0.1479306064120427,0.1143014644663593,0.2357790151101446,0.3606578903165977,0.2725938289432673,0.2173062165604362
14B.128.256.0.2.2,0.3795519456113121,0.2735945207791232,0.2071136015017284,0.1584113013321785,0.7863160371780396,0.7320195436477661,0.7571625709533691,0.3595730283367805,0.5048762108117061,0.4075690837514296,0.143881331104764,0.1978371670538907,0.1609788920752209,0.2840976816605726,0.4028485333104997,0.3191553079529119,0.2720189091967865
14B.128.256.0.2.4.1024,0.3898359139934583,0.2829051378311802,0.2166086716907313,0.1674015891725027,0.7907738089561462,0.7390540838241577,0.7625678181648254,0.3647140292191443,0.5069584220319693,0.4082454977302899,0.1483396637027589,0.2095207643428705,0.1661071470668771,0.2886881015316782,0.4097910926094733,0.3212935558196793,0.276519777197202
14B.128.256.0.2.4.256,0.3419354717603577,0.2308818789603643,0.1651275043020123,0.1196662151161498,0.766905665397644,0.707128643989563,0.7346549034118652,0.3076602736819419,0.4515873686967293,0.3548167014592068,0.1068000795954044,0.15268485513853,0.1212305571799384,0.2516938612149033,0.3563861814859188,0.281709754371845,0.2316683221808302
14B.128.256.0.2.4.512,0.3464078208295678,0.2455504023732555,0.1834459624724193,0.1385875464367152,0.7895087599754333,0.7193448543548584,0.751234769821167,0.3308809826874555,0.5097179907619439,0.3841663600018994,0.1269934708455961,0.1934693225224609,0.1450552687717157,0.2650199706847659,0.4132112144110479,0.3042105322006885,0.2495059245970196
14B.128.256.0.2.4,0.4320076041105881,0.3222348031376928,0.2515960773998262,0.1977005937635312,0.8019310832023621,0.7597978115081787,0.7794668078422546,0.4066385095551476,0.5244174608885444,0.4468244429633117,0.1771294365321505,0.228390920306535,0.1940704636640219,0.3212222891376824,0.4242464257705842,0.3530039613428486,0.3086394121641481
14B.128.256.0.2.6,0.3233483639654299,0.2172093239969568,0.1552907672691512,0.1127923727130117,0.7565478682518005,0.6948023438453674,0.7233906984329224,0.3015823178511912,0.4551989597124216,0.3530652949455327,0.1010926288645862,0.151685248928527,0.1173089714863404,0.2428284007005944,0.3623357582110093,0.2800741023273986,0.2228987284295115
14B.128.256.0.4.4,0.4150422614380826,0.3033623896905038,0.232449345248116,0.1788376594697543,0.7893844246864319,0.752047061920166,0.7693094611167908,0.3923248572922748,0.5007647566601955,0.4272623933881204,0.161612212177413,0.2075520041895033,0.1754711389095376,0.3096910381770412,0.4001289858148348,0.3344089357229686,0.2941568300543358
14B.16.32.0.2.4,0.348654090445079,0.2505167531609653,0.1898191321758853,0.1451621378597959,0.7844523787498474,0.7259649038314819,0.7528795003890991,0.3344625515286564,0.4909404354226122,0.3849790680949484,0.1349229037550413,0.2044821965283676,0.1562057559678896,0.2672926774914239,0.4035118093840348,0.3067372488203537,0.2513264838931659
14B.32.64.0.2.4,0.3853293939744621,0.2818693790568428,0.2154474179907649,0.1661330674961171,0.7927026152610779,0.741719126701355,0.7652707695960999,0.3644065216079442,0.5100614192148577,0.4116269273263944,0.1497611172248346,0.2104097395033983,0.1690114984445478,0.2893783291412607,0.4151162475822194,0.3251899071513729,0.27355264779189
