model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.660324329468685,0.6519816124293044,0.6410571455742906,0.6292791412149803,0.902009665966034,0.8913541436195374,0.8907486796379089,0.8148684978725302,0.8413483725556686,0.7719443466723322,0.7629467638285702,0.7910269922484198,0.7208519704757342,0.8042680999255049,0.8334185874427789,0.7571125929888184,0.7577965868351212
14B.128.256.0.2.2,0.6412354575319001,0.6362599050256471,0.6218944414022003,0.6114036155523863,0.9022560715675354,0.8774847388267517,0.8831298351287842,0.7848583841314825,0.8514585061398328,0.7559410408909579,0.7316510915269648,0.7794684259080922,0.6970786644097062,0.7758174029387588,0.8438592283710658,0.7416138161723179,0.7293262832272513
14B.128.256.0.2.4.1024,0.6507254970897732,0.6442592338692967,0.6272483382396019,0.6161356761517933,0.9040335416793824,0.8836531043052673,0.8874496817588806,0.7950325775891101,0.8512087485299122,0.7626636785038399,0.7403481998334667,0.7806787529644371,0.7025577743854317,0.7843739309036275,0.8434586175629114,0.7479062435095655,0.7397727126496539
14B.128.256.0.2.4.256,0.5573034648770596,0.5487440095145797,0.533977953178015,0.5249993190779514,0.8944839835166931,0.8336323499679565,0.8561423420906067,0.6850664517367424,0.8552093653307763,0.6925617021613405,0.6195738236181795,0.7636751813913765,0.6212289870932045,0.6738665477417152,0.84873734917058,0.6770154947780216,0.6370133301794474
14B.128.256.0.2.4.512,0.6485258813017454,0.6438221241411027,0.6265648585822888,0.6134968556667524,0.908975064754486,0.8748659491539001,0.8856403827667236,0.7746499425901979,0.8744690279620101,0.7616946748704968,0.7179255807550884,0.7877870995599398,0.6968585712385564,0.7644456901711523,0.8665734741437053,0.7474745393649105,0.7252730556195166
14B.128.256.0.2.4,0.6591091869681825,0.65441623699643,0.6381709318030357,0.6237230013814603,0.9101843237876892,0.8883327841758728,0.8930934071540833,0.8029618495831233,0.8633841545739454,0.7735642827394809,0.753315448179071,0.7978301555920937,0.7163361044704023,0.7939847768477034,0.8563075987440417,0.7595437528069795,0.7498253445076714
14B.128.256.0.2.6,0.6515741940395599,0.6469563886254451,0.6312018676107191,0.6195766352496415,0.9120897650718688,0.8823485374450684,0.891040027141571,0.784692986642394,0.869264850102389,0.7674766740969622,0.7319067211788414,0.8029003022233733,0.7101514545875279,0.7741250028604112,0.8619645534049578,0.7525504953089039,0.7336107696692691
14B.128.256.0.4.4,0.6495435093422848,0.6429554595481042,0.6309263338668988,0.6156892773161239,0.9080653190612792,0.8794004321098328,0.8875054717063904,0.7840807420247952,0.867986667958598,0.7674026100929761,0.7275899586744847,0.7992834203065646,0.7082153653113397,0.7729145021402806,0.8609614454391153,0.752545398232176,0.734156173274962
14B.16.32.0.2.4,0.6451756348084517,0.6379768302003119,0.6258426782293773,0.6182094737194593,0.886405885219574,0.8955880999565125,0.8844692707061768,0.830359372362883,0.8047355864837017,0.7558965054076083,0.7790949424769856,0.7419380099262908,0.6989526353059202,0.8202552343397729,0.7920823641486914,0.7372563328167561,0.757655780131319
14B.32.64.0.2.4,0.6427702669734077,0.6372997629265104,0.6229247052883082,0.6104554170860182,0.8997812271118164,0.8824283480644226,0.884358286857605,0.7939792372717479,0.8441097616128972,0.7549650082422599,0.741798571001152,0.7742167034823153,0.6975292326091518,0.7849756945226456,0.8349617028677605,0.7398593193907017,0.7356978229383309
14B.64.128.0.2.4,0.6387904219029567,0.6320991383125735,0.6167504478975684,0.6049859005570885,0.8913713097572327,0.8858954310417175,0.8825458884239197,0.8031920336148809,0.8220941994680184,0.7543458268777479,0.7496696166596243,0.7496396086315765,0.6933327687784108,0.7943376758664112,0.8136341097329699,0.7397251910105395,0.7415146896259611
14B.8.16.0.2.4,0.6132603673206849,0.6055388248138621,0.5899809392813649,0.5788083784466077,0.875420093536377,0.8778154253959656,0.8699291944503784,0.7921744671669734,0.7882383938266428,0.7264836771768702,0.7378575733539025,0.7101966714135949,0.6636154321559802,0.7814867276187404,0.7757726628438192,0.7081480056255041,0.7226044791488095
Baichuan-M1-14B-Instruct,0.5685707592620626,0.545297148364403,0.5268458758920908,0.5075765495122925,0.8394199013710022,0.8797224760055542,0.8530658483505249,0.8050491598658737,0.6846001497138197,0.6800585287547091,0.6928611950299962,0.5819442697633506,0.5780250412069653,0.7739570651291199,0.6512218574736773,0.6409831215377826,0.7087815694577638
Baichuan2-13B-Chat,0.5149313040787952,0.4830986093640983,0.4588971196325163,0.4323168836996442,0.8100731372833252,0.864371657371521,0.8308225274085999,0.7701707007515195,0.6147843480743457,0.626027067704119,0.6162226962348403,0.482424987528574,0.4934977433493564,0.725331485567609,0.5663435953432329,0.5728782373014029,0.6512088427900614
Baichuan2-7B-Chat,0.4344534945916136,0.3984938368011834,0.3721488324279955,0.3453661163941338,0.7592021226882935,0.8520733118057251,0.7973697781562805,0.7526373714656662,0.4963671768659307,0.5375247174087054,0.5554457376783002,0.3642206206548712,0.3915113525691004,0.7045186864855858,0.4414269798581776,0.4752117010979584,0.5707448635587652
Bentao,0.0793787157676356,0.0785441903240584,0.0793628316414117,0.0768064355937914,0.4976785182952881,0.8032365441322327,0.6123499274253845,0.9969886016346838,0.1159951513948721,0.1958816997232191,0.9705050148802185,0.0907325389365098,0.1545112522984569,0.9967984810240608,0.0819743993720392,0.1416044799365226,0.3431313896244782
BianCang-Qwen2.5-7B-Instruct,0.5545994874288294,0.5312338080202527,0.5133819778807023,0.49463124179482,0.830451488494873,0.876618504524231,0.8473154902458191,0.7965176984820775,0.6669231606978161,0.6694101922054851,0.6881865743325511,0.5697407021601628,0.5704574309439302,0.7629406407278658,0.630343419452177,0.627735478150167,0.6977176472588922
BianQue-2,0.0714647220661416,0.0284198477182427,0.0211551810655179,0.01720225578169,0.5163810849189758,0.5857951641082764,0.5444424152374268,0.2733885848480901,0.1277194890136882,0.1314118340710991,0.1142462005063357,0.0191866274421403,0.0296183068018436,0.2690740200535609,0.1089819404776656,0.1048601861588103,0.1141332337811926
chatglm3-6b,0.4715999519379185,0.4391697022103553,0.4161513007796237,0.3929680249061386,0.7692609429359436,0.861031711101532,0.8074180483818054,0.7824562648530731,0.5284453125150369,0.5777027029815806,0.6248670695990162,0.4095497936737263,0.4482710858677862,0.7335004099681048,0.4698471915781368,0.5144547463343055,0.6264499316912295
chatmed,0.07798155269213,0.0771615506381805,0.0779793482086862,0.0754545603637101,0.496771901845932,0.8031004071235657,0.6116170287132263,0.9969886016346838,0.1153809326908284,0.1949734229319753,0.9705050148802185,0.089947718592538,0.1533344613864752,0.9967984810240608,0.0807037635926175,0.1396570552739124,0.3413646366965752
DeepSeek-R1-Distill-Qwen-14B,0.4192026947720857,0.3750678206533913,0.3413515918406415,0.3091280744617688,0.7478504776954651,0.846340000629425,0.7895535826683044,0.7388214940700648,0.4698157615468661,0.5243909566509125,0.508676017795171,0.3153940390581149,0.3503203222687398,0.67449342176291,0.401293102633606,0.4495572199970705,0.5539406711546824
DeepSeek-R1-Distill-Qwen-32B,0.4316172176774441,0.3916596737247796,0.3608370717977497,0.3299818322982892,0.7537169456481934,0.8545825481414795,0.7961783409118652,0.7639898673635995,0.4884975624929998,0.5441518317046348,0.539449511331343,0.3421340208413195,0.3765021070138534,0.7033307648172679,0.4207233860626184,0.4684672799460212,0.577304521623903
DeepSeek-R1-Distill-Qwen-7B,0.3369080678957546,0.2893036086062137,0.2545117219126768,0.2223894190674915,0.7050274014472961,0.8225534558296204,0.7549452185630798,0.690884155943572,0.3770953344787181,0.4406262681711697,0.4223886153865447,0.218912316259841,0.2549785860042077,0.6185812809828294,0.3032719402178619,0.3558102774195836,0.4625169569141508
deepseek-r1,0.3673229318949235,0.3309979538634774,0.3046049612755882,0.2783833191014,0.706978976726532,0.8512797951698303,0.767791748046875,0.8001548273726972,0.3969745505243476,0.4773576403435466,0.5698489870962458,0.2731883603880428,0.3244447589589883,0.7296457835331395,0.3345663837621309,0.4008552036707949,0.545104649046183
deepseek-v3,0.5173593653581233,0.4922300593282828,0.4729259110207426,0.4519116347126954,0.7913665771484375,0.8941009044647217,0.8344526290893555,0.862868757466291,0.5725572507044892,0.634336870508399,0.7229708773364161,0.4716085296767469,0.5195332080576572,0.8180760583871678,0.5211781297314568,0.5767803095422666,0.6998631130296438
gpt-3.5-turbo,0.505699506971679,0.4706821605307189,0.4437645100632594,0.4165898107324121,0.7901684045791626,0.8758280873298645,0.8258800506591797,0.8072477309747255,0.560133623772947,0.6095908267146809,0.6315990676796003,0.4364437390049137,0.4696116495141305,0.7549643478933863,0.5090013951858237,0.5509605467894154,0.6576933489696548
gpt-4o,0.5145207220972473,0.4780591282206261,0.4482103563621562,0.4172290542802607,0.7972461581230164,0.8790826201438904,0.8313791751861572,0.8068168462988716,0.5753113113621877,0.6203957806579573,0.6175871617307979,0.4367024050205822,0.4663315284200311,0.7506774879398966,0.5185567488965798,0.5571072393961034,0.6550221621651007
HuatuoGPT2-13B,0.1631752635446656,0.1090198690783343,0.0756353179337609,0.0515035190189767,0.6004475355148315,0.750980794429779,0.6649336814880371,0.471296360026345,0.1423912770533969,0.1995042717971369,0.1404342666024045,0.0387942267641505,0.0542340556502477,0.4211305896088271,0.1028417528000057,0.1475656704157252,0.2104077429006048
Lingdan-13B-Base,0.0784266391972036,0.0776014563178635,0.0784178654269838,0.0758832522832082,0.4976810812950134,0.8023533821105957,0.6121073365211487,0.9969886016346838,0.1157700950037277,0.1955335404341198,0.9705050148802185,0.0903671710805488,0.1539239898254485,0.9967984810240608,0.0813293175045504,0.1405502567781567,0.3439650879377097
Lingdan-13B-PR,0.0786055670693927,0.0777788658100505,0.0785967491104223,0.0760577226406826,0.4973467886447906,0.8025429844856262,0.6119033694267273,0.9969886016346838,0.1158322242354669,0.1956516866791223,0.9705050148802185,0.0904574214739026,0.1540892148078753,0.9967984810240608,0.0815674363170596,0.1409437833889998,0.3438787991315931
Llama3-8B-Chinese-Chat,0.446018334475482,0.4129302749960818,0.3882321722592517,0.3624481343995774,0.7583980560302734,0.8672237396240234,0.803795337677002,0.8069726335749811,0.5028490683383197,0.5624431747825476,0.6161549484521172,0.3781019514203531,0.4181126428707636,0.7447084683803632,0.4396967341386307,0.4903517114883816,0.6152672291980503
Qwen2.5-14B-Instruct,0.4943188430987857,0.4637668148300524,0.4413032410067473,0.4185172116414056,0.783132016658783,0.8804688453674316,0.8238828182220459,0.8208697733456036,0.5487693303547055,0.6039397825099304,0.6681641550330311,0.4374937306560122,0.4800576256587149,0.7795274247164956,0.4934853382680692,0.5450424316639515,0.6598782338011203
Qwen2.5-32B-Instruct,0.5900646775886622,0.5735657173468921,0.5612347009470928,0.5471767821112131,0.841522216796875,0.893360435962677,0.8609765768051147,0.8382818832070633,0.6902148665434545,0.6993620663431384,0.7559552887111554,0.6148393046838483,0.6230026712804512,0.813482098454538,0.6620318252048086,0.6659405209877272,0.7361604089459095
Qwen2.5-72B-Instruct,0.4987457691488628,0.4672558658161445,0.4433359726160672,0.4188962619290177,0.783970057964325,0.8815077543258667,0.8248178958892822,0.8221267416416024,0.5503389638516244,0.6064490701739783,0.6579893307719058,0.4371224438022982,0.4770493399982221,0.7724792618092651,0.5002670141123415,0.5488482887385033,0.667263439091154
Qwen2.5-Math-7B,0.2924887201917958,0.275096052995143,0.2637407604098311,0.2508987517349082,0.6755743622779846,0.8290898203849792,0.7357904314994812,0.7929339646327876,0.4000670652010493,0.449457673318781,0.6803327585473276,0.3007245356205336,0.347807676375443,0.7752235023854348,0.3183360329295719,0.3591995123964009,0.4895391071158995
