model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.402524944625826,0.3427054723183166,0.2877569911273929,0.241511426496376,0.6876447200775146,0.6704658269882202,0.6784560680389404,0.2442186101346512,0.3213225939929728,0.2678891856697548,0.0914119060340982,0.1213004059417016,0.0994467135862105,0.1878983052537376,0.2115144527861563,0.1865239889473026,0.2003156684484089
14B.128.256.0.2.2,0.4155994129018965,0.3463043816100697,0.2881335491565495,0.2403527820073444,0.7322033643722534,0.6995275616645813,0.7142308950424194,0.2910420305809316,0.4247875914833012,0.3272237226882163,0.1139610409255006,0.1744615056728231,0.1273681676776925,0.2136999720215553,0.282939359227802,0.2208965450796903,0.2290557163359841
14B.128.256.0.2.4.1024,0.3549945052225045,0.2992050114350987,0.2498817453119048,0.2090010801156681,0.667466938495636,0.6510499119758606,0.6586534976959229,0.2175004896280895,0.2882958294897819,0.2398802189522811,0.0804650855861092,0.1078246022975246,0.0881510656999128,0.1693343801944458,0.1920650769582405,0.169723188914288,0.1792803475743068
14B.128.256.0.2.4.256,0.3425967155116838,0.2820162673493001,0.2335830658463061,0.1943106240006864,0.7167745232582092,0.6774666905403137,0.695436954498291,0.2609349694818065,0.4061238035265667,0.3016956571233665,0.1003443036428322,0.1644771186500562,0.1155038306967854,0.1904556993180873,0.2732487216437348,0.2040656301198756,0.2018319535694552
14B.128.256.0.2.4.512,0.4039085181979055,0.3380103094812599,0.2812669491933638,0.2345085696854084,0.7196645736694336,0.6893447041511536,0.7031921744346619,0.2713560075093692,0.396311333920417,0.3073203813784698,0.1032771274928886,0.1598586560403829,0.1169732545341348,0.2011481453663713,0.2645764188001739,0.2091754483607936,0.2152293928920446
14B.128.256.0.2.4,0.4660573946814535,0.3906435340190003,0.325509165277531,0.2719486274007775,0.7266529202461243,0.7058814764022827,0.715503990650177,0.2985329900906714,0.3924362768482498,0.3284273798273879,0.1150138426131529,0.1551898136633526,0.1264021441941184,0.2229085163132882,0.2570009078084898,0.2247549484073522,0.2400562425450484
14B.128.256.0.2.6,0.386340057176145,0.3329949016246399,0.2810619900517305,0.2365919968006319,0.670079231262207,0.6563311815261841,0.6626595258712769,0.2229945649805941,0.2820924445705248,0.2403081712371811,0.0836046007382937,0.1073200807075687,0.0896993714587895,0.1741002690418858,0.1919416253432167,0.1713193370078036,0.186472785107489
14B.128.256.0.4.4,0.4003015270390975,0.3396713974066439,0.2845640616367293,0.2388265795950306,0.6909668445587158,0.6691294312477112,0.6791766881942749,0.2393092622178639,0.3290198903646872,0.2656629622493013,0.0904784350929491,0.1271755859435036,0.0997187870699766,0.1879996696122199,0.2196693771410806,0.1876426700594545,0.1999601487229334
14B.16.32.0.2.4,0.3369456274248455,0.2757758259979389,0.2272640539823186,0.188107498258642,0.7155049443244934,0.6768259406089783,0.6943105459213257,0.2576271792677168,0.4093119184861138,0.2969517751254069,0.0968346357655761,0.1644883799323343,0.1112354011840065,0.1917557812358907,0.2677570884731311,0.1969911324491742,0.1999489275551317
14B.32.64.0.2.4,0.2597330317797482,0.2071641438148094,0.1682458300853301,0.1374794140951926,0.6825864315032959,0.6404895186424255,0.6589102745056152,0.2095570165531829,0.3531239971776038,0.241615272431571,0.0773998066575312,0.1499177073166102,0.089207033570282,0.1546649370189905,0.2431590698086587,0.1611057096913305,0.1573795299974045
14B.64.128.0.2.4,0.326263529439437,0.2844395147162369,0.2408959478457625,0.2035444308106528,0.6603512167930603,0.6292956471443176,0.643383800983429,0.1858737956334266,0.2883451747627508,0.214273701690912,0.0707149695630669,0.1158463460768904,0.0812144757229484,0.1448792412029035,0.1974511612480916,0.1492989203566515,0.1573649364406168
14B.8.16.0.2.4,0.2564316258255764,0.214914896733963,0.1790443544196186,0.1495266084202471,0.7375688552856445,0.6429887413978577,0.6829743981361389,0.2122618152601525,0.5340808987637401,0.266816219596902,0.0789432728447023,0.2698000756128154,0.1004320450630816,0.1470631128415935,0.3987583254423997,0.1685047898242173,0.1579245811442422
Baichuan-M1-14B-Instruct,0.3536755544565665,0.2975846310864144,0.247927094512056,0.2065222305826005,0.7247477769851685,0.6928321123123169,0.7078360319137573,0.2650653081658454,0.3882829348425776,0.3041995293732737,0.0839508099783916,0.14059258247675,0.0998805052614225,0.1666219265718212,0.2811355030001861,0.195755212128397,0.1898576102674602
Baichuan2-13B-Chat,0.282280869831801,0.2324077105917747,0.1917849185223329,0.1590758430223272,0.7092723250389099,0.6610178351402283,0.6834657788276672,0.2251045524731285,0.3757601448694077,0.2689038197028377,0.0723456567282217,0.141901496731284,0.0893980993355567,0.1464882732400941,0.2742221083821423,0.1764224562181443,0.1640726718137858
Baichuan2-7B-Chat,0.1121927773197273,0.0783820532905903,0.058888183243301,0.0453948232690236,0.6107767224311829,0.5739418268203735,0.5908624529838562,0.1246846779034582,0.2114497013493955,0.1482918323680039,0.0365964948480863,0.0748419482857798,0.0448721522387891,0.0873521203558675,0.1684898923914979,0.1046958501546065,0.0876065674059596
Bentao,0.1486727734003516,0.101359940877533,0.0805269814270264,0.0657105802195354,0.5638924241065979,0.6199504137039185,0.5901111960411072,0.169380378964616,0.1751369159566433,0.1677164280025192,0.0426897504017297,0.0466644057853418,0.042811627880961,0.0926761215223868,0.0979956878221456,0.089881484151348,0.1031866980581683
