model,MRR,precision@1,recall@1,precision@3,recall@3,hr@1,hr@3,nDCG
14B.128.256.0.0.4,0.8388211417636883,0.7457142857142857,0.0873091358453007,0.7219047619047616,0.2508711825837009,0.5371428571428571,0.8571428571428571,0.620267651203235
14B.128.256.0.2.2,0.8760171098742526,0.7971428571428572,0.0965217258868381,0.708571428571428,0.2531369644568165,0.4114285714285714,0.8228571428571428,0.5924332538541252
14B.128.256.0.2.4.1024,0.8942710781282207,0.8228571428571428,0.1022358524626128,0.7623809523809522,0.273297571373871,0.54,0.8857142857142857,0.6453999002892358
14B.128.256.0.2.4.256,0.8104829931972789,0.68,0.0870782907161805,0.6385714285714279,0.2296313524392128,0.3257142857142857,0.8057142857142857,0.5541785118807822
14B.128.256.0.2.4.512,0.7802482993197282,0.6514285714285715,0.0802387740237226,0.6166666666666663,0.21962774219865,0.2685714285714285,0.7428571428571429,0.4959304066402548
14B.128.256.0.2.4,0.8948684807256235,0.8285714285714286,0.099865651458539,0.7657142857142853,0.2673792476917216,0.5571428571428572,0.88,0.6402815317377025
14B.128.256.0.2.6,0.8614591836734691,0.7885714285714286,0.0927838032322184,0.7480952380952377,0.2628078517140221,0.5571428571428572,0.8485714285714285,0.6322803391165087
14B.128.256.0.4.4,0.854700680272109,0.78,0.09143851777842,0.7299999999999999,0.2523489564023072,0.48,0.8314285714285714,0.5762517504833689
14B.16.32.0.2.4,0.7326755625327057,0.5371428571428571,0.066345802503235,0.6095238095238096,0.215830590757889,0.2428571428571428,0.7342857142857143,0.528103232612764
14B.32.64.0.2.4,0.7245102040816331,0.5514285714285714,0.0630018985439759,0.6100000000000003,0.2134676705518906,0.2057142857142857,0.7,0.4911149065307975
14B.64.128.0.2.4,0.8544557823129252,0.7542857142857143,0.0889301728481096,0.7161904761904754,0.251432699043577,0.4428571428571428,0.8571428571428571,0.6218263724127618
14B.8.16.0.2.4,0.7417484023912594,0.6028571428571429,0.0724096932686136,0.54,0.1914427764321935,0.2057142857142857,0.6657142857142857,0.5024612351576021
Baichuan-M1-14B-Instruct,0.8485091733663161,0.7485714285714286,0.0869030364530227,0.6999999999999998,0.2431581076951205,0.3428571428571428,0.7571428571428571,0.5952603596222417
Baichuan2-13B-Chat,0.8053952277880848,0.7,0.081822788797587,0.542857142857143,0.1914080777076087,0.3057142857142857,0.7485714285714286,0.4600141472509581
Baichuan2-7B-Chat,0.769172697517235,0.6628571428571428,0.0762624604827253,0.4885714285714287,0.1688106970681307,0.1485714285714285,0.5714285714285714,0.4516608636144463
Bentao,0.305501683047215,0.2171428571428571,0.0184034182743626,0.1038095238095237,0.0236921333553866,0.0142857142857142,0.0857142857142857,0.2392619410617167
BianCang-Qwen2.5-7B-Instruct,0.8236917130488558,0.7314285714285714,0.085208398224771,0.6380952380952375,0.2244739558873698,0.28,0.7085714285714285,0.553675411604439
BianQue-2,0.1766972497378293,0.1371428571428571,0.0109456095098311,0.0704761904761904,0.0151504792618448,0.0171428571428571,0.0714285714285714,0.1129369104689344
chatglm3-6b,0.6797534104550913,0.5428571428571428,0.0630700406734325,0.4380952380952385,0.1469314572665313,0.2028571428571428,0.4914285714285714,0.3685304925870041
chatmed,0.305501683047215,0.2171428571428571,0.0184034182743626,0.1038095238095237,0.0236921333553866,0.0142857142857142,0.0857142857142857,0.2392619410617167
DeepSeek-R1-Distill-Qwen-14B,0.7288471449185734,0.58,0.0678954833714372,0.5314285714285715,0.1845378274100659,0.1057142857142857,0.5657142857142857,0.479389981753642
DeepSeek-R1-Distill-Qwen-32B,0.7243085961657392,0.5742857142857143,0.0672224611435221,0.5323809523809524,0.1871197103353789,0.1771428571428571,0.5971428571428572,0.5110105000390714
DeepSeek-R1-Distill-Qwen-7B,0.5068332619761193,0.3485714285714286,0.0351642400856046,0.2909523809523803,0.0906635687519699,0.0428571428571428,0.2542857142857143,0.2565888811154745
deepseek-r1,0.5495612244897959,0.1657142857142857,0.0221330059835428,0.5266666666666665,0.194496728498285,0.0742857142857142,0.6857142857142857,0.5768706476284973
deepseek-v3,0.839408163265306,0.7342857142857143,0.0879743674391037,0.6485714285714275,0.2299756814281901,0.2914285714285714,0.7571428571428571,0.5690358138054347
