model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.4059124427100885,0.2909691905826712,0.2212820513398633,0.1671978312165987,0.7602967619895935,0.7369275689125061,0.7477192282676697,0.367470967529991,0.4401339280731214,0.3914652797644413,0.1369105647707549,0.1589249682966505,0.1424758931286243,0.2772685892904046,0.3238941617589591,0.2875639253050845,0.2610791573635644
14B.128.256.0.2.2,0.3954443796850447,0.2830852175199233,0.2149320138415544,0.1618508183847994,0.7600809931755066,0.7331769466400146,0.7456539869308472,0.3604833890717829,0.441933854688766,0.3876560211917183,0.1322449223432308,0.1565716455390315,0.1387647294989001,0.2692269827568656,0.3228132896562687,0.2818883020874507,0.2520246844272242
14B.128.256.0.2.4.1024,0.4041355672223704,0.2909695610068042,0.2218244204826679,0.1678528003419178,0.7632640600204468,0.7378577589988708,0.7496520280838013,0.3676889468588887,0.4451631499433366,0.3932432691447859,0.1374885682798545,0.1596305982120962,0.1430552910263521,0.2775531828784255,0.3286416655904263,0.2895945117609766,0.260153410066774
14B.128.256.0.2.4.256,0.3999712472308572,0.2876755916502279,0.2189970661058557,0.165819580736986,0.7628249526023865,0.7362369894981384,0.7485832571983337,0.3625246351749546,0.4425302588633494,0.3895257500469827,0.1351527288605868,0.1605456049191669,0.1421429534792223,0.2711654462638975,0.3258251140962758,0.2846732316720565,0.2539114034145521
14B.128.256.0.2.4.512,0.4049334385899429,0.2918452498985695,0.2226526376248367,0.168923099692239,0.7643405795097351,0.7365384697914124,0.7495121359825134,0.3647298720203384,0.4449424064912382,0.3919397727922277,0.1373499690925585,0.1632952106301384,0.1445360633833105,0.2748345338041279,0.3296713699202576,0.2886317655183478,0.2588437076666939
14B.128.256.0.2.4,0.4317462633335827,0.3138278649664822,0.2414985131443758,0.1842519437131081,0.7641026973724365,0.7476345896720886,0.7552123665809631,0.3863909091278895,0.4396473302862754,0.4036997847761328,0.1501215696195755,0.1640062631025229,0.1528708998835477,0.2948901281017821,0.3270502088050457,0.3002444187195764,0.2827597224992332
14B.128.256.0.2.6,0.4068075771305496,0.2932841328972126,0.2239186753893191,0.1693985530284459,0.76382976770401,0.7384603023529053,0.7502087354660034,0.3686839258333004,0.4439346335538527,0.3934896307603866,0.1400312860833357,0.1626664988239891,0.1457241311300038,0.2787967016284602,0.3282464532664984,0.2898739045482408,0.2621083627485564
14B.128.256.0.4.4,0.4082424033527355,0.2937602800385999,0.2241990295412241,0.1698132841540752,0.763361394405365,0.7383216619491577,0.7499874234199524,0.3680910842247222,0.4442297047833832,0.3940752466067758,0.1394469481563155,0.1615817500354283,0.1453602728281211,0.2772566332757126,0.3273285926939858,0.2896025634098735,0.261808525128894
14B.16.32.0.2.4,0.3932353597089242,0.2831564897463021,0.2156917872118178,0.1632205838598785,0.7633435130119324,0.7346875667572021,0.7480393052101135,0.3606113315687191,0.4472749813202293,0.3894937199127857,0.1336433431950096,0.1599252385645745,0.1409737860326067,0.2723704420687513,0.3334164439594576,0.2879813555386052,0.2532889243856733
14B.32.64.0.2.4,0.4017089982221349,0.2895087522203273,0.2207299354026544,0.1671092670595101,0.7641706466674805,0.73692786693573,0.7496241331100464,0.3669361493565828,0.4494366745524636,0.3948960213892115,0.1365908839526212,0.1618262008795945,0.1435853851187143,0.2746496954067704,0.3299053828134963,0.2887142715116972,0.2588658321676768
