model,precision,recall,f1,accuracy
14B.128.256.0.0.4,0.6710384456393564,0.667531730767839,0.6683989703046621,0.803
14B.128.256.0.2.2,0.6355095872486408,0.6249493259097622,0.6280197262255849,0.75
14B.128.256.0.2.4.1024,0.7858166273920518,0.7815325706458973,0.7819517079532352,0.7815
14B.128.256.0.2.4.256,0.7326672840869201,0.725447830863356,0.7259852395352118,0.726
14B.128.256.0.2.4.512,0.75424883374493,0.7459710197256386,0.7470126867968202,0.7465
14B.128.256.0.2.4,0.8143575858173533,0.8104559685563728,0.8113637833201712,0.811
14B.128.256.0.2.6,0.6807081057894172,0.6747101556902076,0.6768327450776169,0.8105
14B.128.256.0.4.4,0.803757746864515,0.7964690066792769,0.7978428051716666,0.798
14B.16.32.0.2.4,0.5661239277376074,0.5605222468501836,0.5606020457572138,0.6725
14B.32.64.0.2.4,0.730410689671306,0.721209026370512,0.721463593262376,0.722
14B.64.128.0.2.4,0.7678381590500679,0.7570592416035298,0.7579250855865216,0.7585
14B.8.16.0.2.4,0.5690160694048495,0.5353074494424435,0.5491156879073326,0.642
Baichuan-M1-14B-Instruct,0.7682475949309705,0.7327661576182847,0.7368568167900975,0.737
Baichuan2-13B-Chat,0.4387028576851199,0.382713741645337,0.3710554916186823,0.4595
Baichuan2-7B-Chat,0.4253318516980214,0.408079968449043,0.4152755588617479,0.4915
BianCang-Qwen2.5-7B-Instruct,0.7794105591287168,0.7781935963737665,0.7776426880372109,0.779
chatglm3-6b,0.3189525884535801,0.2823553047890214,0.293730082455439,0.3425
DeepSeek-R1-Distill-Qwen-14B,0.5704802869584435,0.5580713977440624,0.5628421451634921,0.6705
DeepSeek-R1-Distill-Qwen-32B,0.5994477503736072,0.589947681076659,0.5934096308400854,0.7085
DeepSeek-R1-Distill-Qwen-7B,0.3034828103199066,0.2841866447828154,0.2911370267796754,0.341
deepseek-r1,0.839485484429839,0.8346764529411654,0.8355888758266918,0.836
deepseek-v3,0.7676685971140412,0.7600137084888864,0.7611622492027816,0.7615
gpt-3.5-turbo,0.4530313891732173,0.4153163318009887,0.4107600096901236,0.501
gpt-4o,0.6760015310025013,0.6709663368501662,0.671182889037949,0.6705
Llama3-8B-Chinese-Chat,0.3555447801956896,0.2887333947288072,0.2947858506441567,0.3505
Qwen2.5-14B-Instruct,0.630213994355696,0.6236101972118521,0.6260020070472705,0.7495
Qwen2.5-32B-Instruct,0.7795497349109748,0.7731069464768264,0.773505111773699,0.7745
Qwen2.5-72B-Instruct,0.6618230868404918,0.6555211303157994,0.6571474565675355,0.7885
Sunsimiao-7B,0.5796275038281192,0.5509170297119875,0.5558389399884897,0.664
ZhongjingGPT1_13B,0.4005634330044514,0.3242660767312416,0.3240367643504871,0.389
