model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.5426799902573193,0.4835720508741322,0.4468715105539079,0.4140611970364284,0.8294365406036377,0.8079273700714111,0.8161352276802063,0.5700672556004804,0.6087184036067481,0.5704466010647117,0.4607575764933007,0.4837684460546356,0.4556426489489209,0.5481117109237129,0.5773902607595763,0.540886297755801,0.5385563737077319
14B.128.256.0.2.2,0.561649997520925,0.4980261646352418,0.4565160391213269,0.4190552921055965,0.8234633207321167,0.8238152861595154,0.8212436437606812,0.6014285918754103,0.5945074199887087,0.5806452221386789,0.4729135906641293,0.4610367269095929,0.4519818672424822,0.5681515932723764,0.5570334950302417,0.5412320620999934,0.5594304110887144
14B.128.256.0.2.4.1024,0.5550480829151846,0.4951452018883074,0.4556935785953692,0.4200821916143136,0.8367238640785217,0.8119206428527832,0.8219195008277893,0.5740946449479092,0.6220308642474379,0.580274101475035,0.4562390267836652,0.4880755798484018,0.4567346079892803,0.5481593674877627,0.5882118696619617,0.5477276237450076,0.544078221664572
14B.128.256.0.2.4.256,0.3962667082999529,0.3347147300241487,0.2963717345537902,0.2634034373598296,0.8172309398651123,0.7372196316719055,0.7731224298477173,0.3996207219113479,0.5691563005702363,0.4529742542836932,0.2844424693419132,0.4083340964821836,0.3213340329775073,0.381778169974816,0.5471251561393441,0.430199457168557,0.3715505566652144
14B.128.256.0.2.4.512,0.4582295017486122,0.3871955599114965,0.3445496398506416,0.3081236028769912,0.805609941482544,0.7622414231300354,0.7811490297317505,0.4582638520547581,0.5433406634552637,0.4802398569376938,0.3365260912951235,0.3967420018363018,0.3497313866948509,0.4351405629980368,0.5168063958717534,0.4523064640985944,0.42455164573336
14B.128.256.0.2.4,0.603058097597141,0.5478488720687543,0.5103897303801076,0.4760631576148013,0.8542420268058777,0.8388277888298035,0.8443498015403748,0.6302401287370913,0.6660993343876445,0.6326186427102528,0.5149869892790501,0.5460477204619223,0.5153060089422863,0.6020935304510435,0.6341841464472495,0.5990523888860125,0.5984939080782258
14B.128.256.0.2.6,0.5374480602185226,0.4815355779203102,0.4444174880460494,0.4106096056120847,0.8408815860748291,0.8010360598564148,0.818330705165863,0.5502350293007305,0.6414646230996698,0.5753167150608942,0.443422801348049,0.5152357753842289,0.4605538735040545,0.5315692284697633,0.6191741488112421,0.5514996767485835,0.529070000935135
14B.128.256.0.4.4,0.5292430453461869,0.4701092541054584,0.4323437406671311,0.3987359954963905,0.8269767761230469,0.7976014018058777,0.8093383312225342,0.5484805988095147,0.6094855846768221,0.5562333182390764,0.4360008803174237,0.4771824180878574,0.4379115672303206,0.525953585982129,0.5852487841717646,0.5292724816863293,0.5216409606490585
14B.16.32.0.2.4,0.2891544175971017,0.201488963455979,0.162813460501674,0.134530747329265,0.7265155911445618,0.6626676321029663,0.6915568709373474,0.2400454229317634,0.352215545903487,0.2726941012299898,0.1404215377417195,0.1909779610573846,0.1532609475964422,0.2509759002768377,0.3427934241981454,0.2739667670599709,0.217047534526094
14B.32.64.0.2.4,0.5169740123432048,0.4505055728799642,0.4068975709818778,0.3682402530206237,0.8266310691833496,0.7980526685714722,0.8099216818809509,0.5314038128739917,0.5828103925096543,0.5396114171549018,0.4035616635690098,0.4407999478139833,0.4067252903594128,0.505594767787973,0.5546234501268154,0.5082763940500689,0.5003643177421875
14B.64.128.0.2.4,0.5549150625709453,0.491044682627298,0.448526049095811,0.4098383993776764,0.8239460587501526,0.8237226009368896,0.8214650750160217,0.593429398773029,0.5945439675025721,0.5762631319797977,0.4614190247234021,0.4585708565162933,0.443843572727498,0.56616775951939,0.5630462986416221,0.5434224003127631,0.5554396700424995
