model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.2570348962124285,0.1853207083644889,0.1403417516662513,0.1070299330988802,0.765988290309906,0.7021440267562866,0.7322148680686951,0.2633761329231541,0.4638019673071069,0.3277219880237221,0.0952287250861035,0.1804107627891217,0.1206650252276744,0.2017862951863184,0.3787164763845062,0.2537737761801951,0.1892650092868009
14B.128.256.0.2.2,0.2815368688731253,0.2030545491391316,0.1535788947698348,0.1168863478040657,0.7646013498306274,0.7073984146118164,0.7343948483467102,0.2731903519386104,0.4551870822487908,0.333325002414011,0.1003087721548353,0.1776648738927928,0.1241665248815043,0.210801233461894,0.3686875085367215,0.2589340737269532,0.2009153369304304
14B.128.256.0.2.4.1024,0.2515763888181365,0.1807912596320852,0.1367051219181053,0.1041440510981012,0.7632366418838501,0.7006313800811768,0.7301486134529114,0.258549261832189,0.457946224780374,0.3225461818134075,0.0940608985311974,0.1775518727729626,0.1189461508349539,0.1970943722160859,0.3685366428221818,0.2472523325415079,0.1854887346329417
14B.128.256.0.2.4.256,0.2786231317712957,0.1994758586104798,0.1503250758246431,0.11441671991259,0.7631940841674805,0.7064827680587769,0.7333251237869263,0.2715317734200362,0.4505457486270722,0.3310564784348098,0.0993312317922246,0.1767484754548948,0.1231502316455913,0.208307339001912,0.3670695546439316,0.2568181773706862,0.1997044648241505
14B.128.256.0.2.4.512,0.2581880077485823,0.1859912553096677,0.1413922027528528,0.1082323219745491,0.7644698023796082,0.7023418545722961,0.731644332408905,0.26251680907978,0.45795397427582,0.32610244612901,0.0979146182296942,0.1819730613252836,0.1234803193928292,0.2032990941339111,0.374559551961675,0.2547308754436779,0.1914419609015985
14B.128.256.0.2.4,0.3238835806230655,0.2335223781137033,0.1770938400046534,0.1353522077796887,0.7639722228050232,0.71672123670578,0.7391716241836548,0.2969521823859449,0.4467796360546584,0.3496208441734371,0.1132213033965156,0.1784941792062519,0.1347060521854109,0.2323307616810071,0.3642814002881648,0.2750444368732817,0.2267399675677027
14B.128.256.0.2.6,0.2453034634580384,0.176533163254872,0.1333605938570491,0.1011828837843186,0.7654154300689697,0.6999008655548096,0.7307127714157104,0.2575362668433624,0.465011775181428,0.3236223469856861,0.093215730115437,0.183658221295347,0.1198202365395039,0.1954790511873449,0.3758782386198571,0.2480723997525742,0.1833016693958213
14B.128.256.0.4.4,0.2507551807936399,0.1803399789678751,0.1365026068459262,0.1036350938420987,0.7634599804878235,0.7005578279495239,0.7302210927009583,0.2578085418923974,0.4620498077758841,0.3233186513053783,0.0932793310570832,0.180200497326133,0.1192510786974622,0.1975779159351048,0.3765194234491817,0.2502421983009425,0.1848580909204464
14B.16.32.0.2.4,0.2371920050269238,0.1701994301198473,0.128575159523397,0.0977337081921494,0.7636186480522156,0.6972365975379944,0.7284655570983887,0.2494883120475489,0.462389379701207,0.3161588135283734,0.0895531398554128,0.1802103939617178,0.1159364302391085,0.1902558844998972,0.3747066307032408,0.2432618117004933,0.176169376951013
14B.32.64.0.2.4,0.2474745544711514,0.1774745065395071,0.1338105196190955,0.1018266459394845,0.7653974294662476,0.6998989582061768,0.730735719203949,0.2577514808538984,0.4619838405932334,0.3227514813637372,0.092625971988902,0.179805355728284,0.1184282830810598,0.1958198202613793,0.3748651156487028,0.2481760887865663,0.1845869618857688
14B.64.128.0.2.4,0.2676764555658095,0.191885690664879,0.1447076260461832,0.1099020303823229,0.7643976211547852,0.7030351758003235,0.7320004105567932,0.262160722240718,0.4555865835604478,0.3253289075135792,0.096534912089428,0.1797921467601072,0.1219974111045133,0.2057772856056603,0.3733191133807865,0.2566367710700199,0.1932574640975086
14B.8.16.0.2.4,0.2187443636115369,0.1565962797763835,0.1176267574234419,0.0887749396609638,0.7652113437652588,0.6937690377235413,0.7273209095001221,0.2406215585711402,0.4662200783410387,0.3107863919079902,0.0851237030376184,0.1823267919999295,0.1129763615074451,0.1822807481068184,0.3791404755028383,0.2385794126411929,0.1669169754036309
Baichuan-M1-14B-Instruct,0.3384596947014107,0.2280873772152887,0.1623915648227985,0.114514207049405,0.702483594417572,0.7321440577507019,0.716558039188385,0.366805483527158,0.2800587412553376,0.3084717208284754,0.1196733865778005,0.0846250538270106,0.0949503665037464,0.2946042374659683,0.1809621601250765,0.2139298784370145,0.2533779003892922
