model,MRR,precision@1,recall@1,precision@3,recall@3,hr@1,hr@3,nDCG
14B.128.256.0.0.4,0.2486119047619046,0.132,0.0323800585271575,0.1939999999999998,0.1758422821883252,0.054,0.284,0.1527872841878191
14B.128.256.0.2.2,0.2500262626262625,0.156,0.0238633953952273,0.1869999999999999,0.1253094695869513,0.056,0.232,0.1156913988167361
14B.128.256.0.2.4.1024,0.2288523809523808,0.122,0.029907264440246,0.1766666666666666,0.1425825911370835,0.052,0.24,0.1297551071406787
14B.128.256.0.2.4.256,0.2016746031746032,0.12,0.0229237457094935,0.1696666666666665,0.1005783685350032,0.036,0.18,0.097658143379512
14B.128.256.0.2.4.512,0.1995365079365078,0.108,0.024140440319086,0.1583333333333332,0.1046923357077559,0.04,0.176,0.1037166179973013
14B.128.256.0.2.4,0.3111142857142858,0.166,0.0409325847790647,0.249333333333333,0.2043790803475153,0.076,0.362,0.1817152440591197
14B.128.256.0.2.6,0.2670040404040403,0.154,0.0305604357487084,0.2143333333333332,0.1682345430352268,0.076,0.304,0.1535403715834711
14B.128.256.0.4.4,0.2550523809523808,0.13,0.0300927385239406,0.2076666666666663,0.1693909918467727,0.056,0.288,0.1492157030395834
14B.16.32.0.2.4,0.1204168534080298,0.08,0.0106850442956019,0.091,0.0251726575956278,0.016,0.068,0.0323095232493566
14B.32.64.0.2.4,0.1989571428571428,0.134,0.0289316622117743,0.1496666666666667,0.0868786642425847,0.056,0.166,0.0847861569006671
14B.64.128.0.2.4,0.2073079365079365,0.124,0.0289054770578886,0.1563333333333332,0.1101703514526458,0.054,0.224,0.1057952770182442
14B.8.16.0.2.4,0.1888241830065359,0.102,0.0223797593617908,0.1503333333333333,0.0920760375357608,0.028,0.162,0.091550951371832
Baichuan-M1-14B-Instruct,0.151492735042735,0.098,0.0088970752135842,0.1193333333333333,0.0226164058053379,0.014,0.058,0.0322465484018984
Baichuan2-13B-Chat,0.1519626984126984,0.118,0.0050031648583659,0.1249999999999999,0.0130834306746821,0.012,0.05,0.0220249646021695
Baichuan2-7B-Chat,0.133663961038961,0.1,0.0052971820532199,0.1023333333333333,0.0114557607784389,0.012,0.038,0.0213616594677749
Bentao,0.0086904761904761,0.004,1.5595890096316296e-06,0.0053333333333333,0.0008070931423649,0.0,0.002,0.003221420342085
BianCang-Qwen2.5-7B-Instruct,0.1407825396825397,0.11,0.0059329290221627,0.1146666666666666,0.0139084162432375,0.012,0.048,0.025453923690665
BianQue-2,0.0707867105117105,0.034,0.0022107221670115,0.0486666666666666,0.0036624910114545,0.002,0.004,0.0106525192351759
chatglm3-6b,0.1230532467532467,0.094,0.0050191416077213,0.0893333333333333,0.0070905598464064,0.006,0.022,0.0160726249819276
chatmed,0.0086904761904761,0.004,1.5595890096316296e-06,0.0053333333333333,0.0008070931423649,0.0,0.002,0.003221420342085
DeepSeek-R1-Distill-Qwen-14B,0.1445124060150376,0.104,0.0049948484656047,0.1066666666666666,0.0107811744170882,0.008,0.044,0.0234082653043546
DeepSeek-R1-Distill-Qwen-32B,0.1481277777777778,0.106,0.0053967674193883,0.1143333333333333,0.0147453653547774,0.012,0.046,0.0259986366002479
DeepSeek-R1-Distill-Qwen-7B,0.1125533613445378,0.072,0.0047126973366094,0.085,0.0060411362065534,0.006,0.024,0.0139488648755288
deepseek-r1,0.1784024753024753,0.128,0.0059465810868824,0.1263333333333334,0.0218263031332957,0.016,0.062,0.0402568734749204
deepseek-v3,0.1802357142857143,0.138,0.0106774020168215,0.1346666666666667,0.0211875024908233,0.02,0.064,0.0365746350701401
gpt-3.5-turbo,0.1454213786213785,0.102,0.004532653510778,0.1056666666666667,0.0119001406719135,0.004,0.042,0.0192113518525319
gpt-4o,0.1574700280112044,0.118,0.0079965839813549,0.1136666666666666,0.0153853586355739,0.012,0.052,0.0255990147115217
HuatuoGPT2-13B,0.1355713064713065,0.106,0.0068981212934522,0.102,0.0087517833108675,0.008,0.036,0.0172072873219418
Lingdan-13B-Base,0.01775,0.004,1.5595890096316296e-06,0.0053333333333333,0.0008070931423649,0.0,0.002,0.0099704534763073
Lingdan-13B-PR,0.0229920634920634,0.004,1.5595890096316296e-06,0.0053333333333333,0.0008070931423649,0.0,0.002,0.0045143119313397
Llama3-8B-Chinese-Chat,0.1132809024309024,0.076,0.0028512679063267,0.0786666666666666,0.0041777181785488,0.006,0.02,0.0121236622772918
Qwen2.5-14B-Instruct,0.1442523809523809,0.11,0.0073826239834139,0.1179999999999999,0.0140850966246804,0.012,0.044,0.0224513732632484
Qwen2.5-32B-Instruct,0.1437258658008658,0.1,0.0062986720423814,0.11,0.0150479259066229,0.008,0.046,0.0242105209753231
Qwen2.5-72B-Instruct,0.15855343349461,0.112,0.0068042385341388,0.1226666666666666,0.0141120922125345,0.012,0.052,0.0301012140222747
Qwen2.5-Math-7B,0.0335,0.024,0.0029624258342926,0.0263333333333333,0.0043183836700037,0.006,0.01,0.0064906952382915
ShenNong,0.0086904761904761,0.004,1.5595890096316296e-06,0.0053333333333333,0.0008070931423649,0.0,0.002,0.003221420342085
Sunsimiao-7B,0.1051888888888888,0.074,0.0052505702879835,0.087,0.0091632333394984,0.008,0.022,0.0164055577451959
TCMchat,0.3261952380952381,0.162,0.0826494866219105,0.2749999999999996,0.3138983478099905,0.122,0.476,0.2825778768697829
ZhongjingGPT1_13B,0.1282602675102675,0.098,0.0049633984383844,0.104,0.0149180424605051,0.01,0.04,0.0236377452251607
