model,avg_bleu_1_gram,avg_bleu_2_gram,avg_bleu_3_gram,avg_bleu_4_gram,bert_score_P,bert_score_R,bert_score_F1,rouge_1_r,rouge_1_p,rouge_1_f,rouge_2_r,rouge_2_p,rouge_2_f,rouge_l_r,rouge_l_p,rouge_l_f,avg_meteor_score
14B.128.256.0.0.4,0.5472131757738011,0.4877229677888565,0.4402863067063224,0.4024310557709615,0.7613140344619751,0.7575973272323608,0.7570363879203796,0.4637013553491506,0.4695357367261787,0.4562361880874774,0.2917171658068687,0.2947471803323549,0.2858085706620379,0.4195487826919759,0.4224217756914348,0.4102037387438171,0.4602444412305401
14B.128.256.0.2.2,0.6362262609053231,0.5727513211743185,0.5222318283986079,0.4807932451660411,0.8005175590515137,0.7963645458221436,0.7958289980888367,0.5446491269912686,0.5545526815535852,0.5384304709062805,0.3512411479181589,0.3580976227418909,0.3471125730367163,0.4928532091996623,0.5003309475702463,0.4850928011713413,0.542692600289488
14B.128.256.0.2.4.1024,0.5768647659071733,0.5180900777234966,0.4700675489861006,0.4300666189144284,0.7824037671089172,0.7787315845489502,0.7784759402275085,0.504182229996025,0.5089570386063803,0.4963580460442571,0.328989231303348,0.329491825507986,0.3215341156406163,0.4570351129772118,0.4585849718022139,0.4470715661892407,0.4942154379779239
14B.128.256.0.2.4.256,0.6287793441745162,0.5616095759594727,0.5070066439499836,0.4629663237657049,0.792722761631012,0.7980987429618835,0.7928197383880615,0.540674275582517,0.5363777971390908,0.5266248402732814,0.3361635166263442,0.3333182268032976,0.3262215772209003,0.4883256178621975,0.4808158663285432,0.4721273337455402,0.5365836840880063
14B.128.256.0.2.4.512,0.6156732716006103,0.5494672951556596,0.4979568826839962,0.4536313866780022,0.7901677489280701,0.7863234877586365,0.7856223583221436,0.5226005090775862,0.5194133088527323,0.5092613149557611,0.3294639254707112,0.3259436735834634,0.3192067046822017,0.4690618631052329,0.4630608222041179,0.4540343526685858,0.5195221011061818
14B.128.256.0.2.4,0.6587228460292823,0.5910575672298112,0.5369701069592695,0.4923637036778983,0.8108093738555908,0.8174219727516174,0.8116307854652405,0.5742654050164306,0.571292332788477,0.5606961970339085,0.3634627483078639,0.3595820837777485,0.3525726728680978,0.5195060091684159,0.5126389754953204,0.5030276814337075,0.5656862674568428
14B.128.256.0.2.6,0.4938319987132178,0.4395016990760587,0.3990728554738841,0.3654382362682127,0.7268998026847839,0.7225017547607422,0.7222374081611633,0.3939924201838498,0.4010645497991461,0.3887458411882765,0.2397968417939653,0.2422670103272552,0.235206335595084,0.351020540806956,0.3539624059029572,0.3436353434211716,0.4009203359322618
14B.128.256.0.4.4,0.5677155124779426,0.5030671108122181,0.453299513354416,0.4124410249585572,0.7666715979576111,0.7529101371765137,0.7569180727005005,0.4625136566187396,0.4720944351653384,0.456772298715406,0.2786822837380482,0.2824113084518491,0.2735102256136075,0.4160321768173868,0.4218824318172975,0.4080200162762722,0.4695354805717656
14B.16.32.0.2.4,0.6342996947720639,0.5664909944375013,0.5131548007079481,0.4700316116556137,0.7941008806228638,0.8015718460083008,0.7951103448867798,0.5488024842778043,0.5426116076045098,0.533587265553724,0.348057899974354,0.341348814735063,0.3362136757761844,0.4982587504743433,0.4871365774071411,0.4801831105223945,0.5454815584796328
14B.32.64.0.2.4,0.6257851686616105,0.5596929305659478,0.5071129274310822,0.4633854028510604,0.796928882598877,0.7990453243255615,0.7956220507621765,0.5301512442010031,0.5470506612191715,0.525899596907347,0.3393942127751294,0.3468425507257171,0.3340817294730647,0.4793731082020447,0.490218606679922,0.4716889206336195,0.522722781820917
